Angle,NE_Raw_1,NE_Needle_1,NE_Rod_1,NE_Small_Square_1,NE_Raw_2,NE_Needle_2,NE_Rod_2,NE_Small_Square_2
6.22453,0.017241379,0.181015453,0.036036036,0.091872792,0.029288703,0.175572519,0.073243647,0.119246862
6.24423,0.00928382,0.156732892,0.036036036,0.106007067,0.039748954,0.114503817,0.061285501,0.110878661
6.26394,0.018567639,0.141280353,0.018018018,0.137809187,0.029288703,0.148854962,0.049327354,0.075313808
6.28365,0.01193634,0.123620309,0.032657658,0.144876325,0.037656904,0.175572519,0.073243647,0.10460251
6.30335,0.027851459,0.154525386,0.023648649,0.077738516,0.033472803,0.202290076,0.077727952,0.081589958
6.32306,0.017241379,0.139072848,0.032657658,0.088339223,0.032775453,0.175572519,0.064275037,0.10041841
6.34277,0.026525199,0.154525386,0.043918919,0.102473498,0.030683403,0.164122137,0.067264574,0.10460251
6.36247,0.021220159,0.161147903,0.022522523,0.120141343,0.023012552,0.22519084,0.061285501,0.083682008
6.38218,0.019893899,0.141280353,0.031531532,0.137809187,0.018131102,0.217557252,0.064275037,0.083682008
6.40189,0.01193634,0.143487859,0.032657658,0.106007067,0.030683403,0.118320611,0.058295964,0.079497908
6.42159,0.017241379,0.174392936,0.033783784,0.113074205,0.025801953,0.198473282,0.050822123,0.077405858
6.4413,0.017241379,0.143487859,0.036036036,0.116607774,0.025104603,0.232824427,0.064275037,0.108786611
6.46101,0.014588859,0.143487859,0.030405405,0.102473498,0.027894003,0.148854962,0.080717489,0.10460251
6.48071,0.015915119,0.136865342,0.023648649,0.123674912,0.027196653,0.183206107,0.043348281,0.081589958
6.50042,0.013262599,0.143487859,0.028153153,0.137809187,0.020920502,0.148854962,0.053811659,0.081589958
6.52013,0.025198939,0.141280353,0.027027027,0.109540636,0.026499303,0.160305344,0.058295964,0.09832636
6.53983,0.023872679,0.154525386,0.027027027,0.116607774,0.023012552,0.152671756,0.056801196,0.094142259
6.55954,0.026525199,0.141280353,0.033783784,0.102473498,0.035564854,0.118320611,0.065769806,0.083682008
6.57925,0.019893899,0.143487859,0.030405405,0.102473498,0.018131102,0.160305344,0.073243647,0.079497908
6.59895,0.018567639,0.10816777,0.029279279,0.113074205,0.021617852,0.164122137,0.043348281,0.092050209
6.61866,0.019893899,0.139072848,0.032657658,0.109540636,0.022315202,0.13740458,0.044843049,0.09623431
6.63836,0.013262599,0.119205298,0.02027027,0.098939929,0.036959554,0.122137405,0.058295964,0.073221757
6.65807,0.013262599,0.12803532,0.019144144,0.098939929,0.027894003,0.164122137,0.059790732,0.073221757
6.67778,0.018567639,0.152317881,0.027027027,0.098939929,0.022315202,0.141221374,0.067264574,0.069037657
6.69748,0.019893899,0.169977925,0.023648649,0.091872792,0.019525802,0.171755725,0.053811659,0.10041841
6.71719,0.014588859,0.134657837,0.019144144,0.109540636,0.029986053,0.15648855,0.058295964,0.081589958
6.7369,0.021220159,0.152317881,0.033783784,0.09540636,0.025104603,0.160305344,0.061285501,0.085774059
6.7566,0.015915119,0.121412804,0.033783784,0.120141343,0.027894003,0.13740458,0.055306428,0.073221757
6.77631,0.018567639,0.125827815,0.027027027,0.09540636,0.025104603,0.129770992,0.052316891,0.073221757
6.79602,0.017241379,0.112582781,0.018018018,0.137809187,0.020920502,0.148854962,0.070254111,0.089958159
6.81572,0.015915119,0.150110375,0.028153153,0.113074205,0.025801953,0.148854962,0.064275037,0.081589958
6.83543,0.018567639,0.130242826,0.029279279,0.106007067,0.039748954,0.103053435,0.053811659,0.060669456
6.85514,0.00928382,0.14790287,0.025900901,0.116607774,0.025801953,0.13740458,0.058295964,0.10041841
6.87484,0.014588859,0.114790287,0.025900901,0.113074205,0.029986053,0.103053435,0.070254111,0.066945607
6.89455,0.023872679,0.145695364,0.025900901,0.106007067,0.025104603,0.13740458,0.073243647,0.075313808
6.91426,0.015915119,0.132450331,0.024774775,0.137809187,0.023709902,0.125954198,0.059790732,0.073221757
6.93396,0.014588859,0.12803532,0.029279279,0.088339223,0.029986053,0.148854962,0.050822123,0.083682008
6.95367,0.00795756,0.114790287,0.025900901,0.109540636,0.030683403,0.148854962,0.071748879,0.081589958
6.97338,0.01193634,0.097130243,0.028153153,0.091872792,0.022315202,0.110687023,0.053811659,0.077405858
6.99308,0.017241379,0.10816777,0.022522523,0.106007067,0.023012552,0.148854962,0.059790732,0.073221757
