Angle,NE_Small_Square_2
8.94403,0.058577406
8.96373,0.066945607
8.98344,0.062761506
9.00315,0.079497908
9.02285,0.056485356
9.04256,0.060669456
9.06226,0.052301255
9.08197,0.058577406
9.10168,0.043933054
9.12138,0.062761506
9.14109,0.046025105
9.1608,0.062761506
9.1805,0.081589958
9.20021,0.083682008
9.21992,0.106694561
9.23962,0.108786611
9.25933,0.094142259
9.27904,0.146443515
9.29874,0.110878661
9.31845,0.089958159
9.33816,0.081589958
9.35786,0.083682008
9.37757,0.087866109
9.39727,0.066945607
9.41698,0.075313808
9.43669,0.077405858
9.45639,0.079497908
9.4761,0.079497908
9.49581,0.062761506
9.51551,0.087866109
9.53522,0.071129707
9.55493,0.133891213
9.57463,0.163179916
9.59434,0.236401674
9.61405,0.213389121
9.63375,0.271966527
9.65346,0.246861925
9.67317,0.171548117
9.69287,0.092050209
9.71258,0.052301255
9.73229,0.054393305
9.75199,0.035564854
9.7717,0.069037657
9.7914,0.050209205
9.81111,0.043933054
9.83082,0.043933054
9.85052,0.058577406
9.87023,0.052301255
9.88994,0.043933054
9.90964,0.052301255
9.92935,0.029288703
9.94906,0.046025105
9.96876,0.056485356
9.98847,0.071129707
10.0082,0.060669456
10.0279,0.039748954
10.0476,0.033472803
10.0673,0.054393305
10.087,0.043933054
10.1067,0.058577406
10.1264,0.060669456
10.1461,0.037656904
10.1658,0.048117155
10.1855,0.058577406
10.2052,0.069037657
10.2249,0.058577406
10.2447,0.071129707
10.2644,0.043933054
10.2841,0.054393305
10.3038,0.054393305
10.3235,0.037656904
10.3432,0.056485356
10.3629,0.039748954
10.3826,0.035564854
10.4023,0.039748954
10.422,0.043933054
10.4417,0.054393305
10.4614,0.069037657
10.4811,0.039748954
10.5008,0.037656904
10.5205,0.041841004
10.5403,0.039748954
10.56,0.046025105
10.5797,0.043933054
10.5994,0.048117155
10.6191,0.054393305
10.6388,0.035564854
10.6585,0.048117155
10.6782,0.062761506
10.6979,0.043933054
10.7176,0.046025105
10.7373,0.041841004
10.757,0.048117155
10.7767,0.043933054
10.7964,0.052301255
10.8161,0.046025105
10.8358,0.043933054
10.8556,0.056485356
10.8753,0.039748954
10.895,0.031380753
10.9147,0.052301255
10.9344,0.050209205
10.9541,0.056485356
10.9738,0.069037657
10.9935,0.050209205
11.0132,0.075313808
11.0329,0.073221757
11.0526,0.041841004
11.0723,0.046025105
11.092,0.071129707
11.1117,0.050209205
11.1314,0.060669456
11.1512,0.069037657
11.1709,0.054393305
11.1906,0.039748954
11.2103,0.050209205
11.23,0.058577406
11.2497,0.071129707
11.2694,0.069037657
11.2891,0.083682008
11.3088,0.123430962
11.3285,0.135983264
11.3482,0.133891213
11.3679,0.177824268
11.3876,0.255230126
11.4073,0.20292887
11.427,0.190376569
11.4468,0.10041841
11.4665,0.089958159
11.4862,0.050209205
11.5059,0.050209205
11.5256,0.048117155
11.5453,0.043933054
11.565,0.064853556
11.5847,0.043933054
11.6044,0.048117155
11.6241,0.050209205
11.6438,0.058577406
11.6635,0.041841004
11.6832,0.056485356
11.7029,0.035564854
11.7226,0.054393305
11.7423,0.071129707
11.7621,0.081589958
11.7818,0.062761506
11.8015,0.066945607
11.8212,0.046025105
11.8409,0.064853556
11.8606,0.039748954
11.8803,0.048117155
11.9,0.058577406
11.9197,0.043933054
11.9394,0.041841004
11.9591,0.041841004
11.9788,0.048117155
11.9985,0.043933054
12.0182,0.046025105
12.0379,0.056485356
12.0577,0.062761506
12.0774,0.037656904
12.0971,0.039748954
12.1168,0.048117155
12.1365,0.046025105
12.1562,0.048117155
12.1759,0.043933054
12.1956,0.023012552
12.2153,0.037656904
12.235,0.046025105
12.2547,0.054393305
12.2744,0.039748954
12.2941,0.046025105
12.3138,0.050209205
12.3335,0.031380753
12.3532,0.050209205
12.373,0.023012552
12.3927,0.046025105
12.4124,0.052301255
12.4321,0.029288703
12.4518,0.054393305
12.4715,0.039748954
12.4912,0.056485356
12.5109,0.056485356
12.5306,0.041841004
12.5503,0.062761506
12.57,0.035564854
12.5897,0.050209205
12.6094,0.052301255
12.6291,0.039748954
12.6488,0.046025105
12.6686,0.039748954
12.6883,0.041841004
12.708,0.048117155
12.7277,0.035564854
12.7474,0.050209205
12.7671,0.025104603
12.7868,0.041841004
12.8065,0.062761506
12.8262,0.066945607
12.8459,0.064853556
12.8656,0.050209205
12.8853,0.048117155
12.905,0.062761506
12.9247,0.09623431
12.9444,0.117154812
12.9642,0.077405858
12.9839,0.115062762
