     Angle,NE_Rod
22.64,0.042792793
22.6597,0.033783784
22.6795,0.031531532
22.6992,0.036036036
22.7189,0.038288288
22.7386,0.024774775
22.7583,0.050675676
22.778,0.030405405
22.7977,0.057432432
22.8174,0.056306306
22.8371,0.06981982
22.8568,0.086711712
22.8765,0.092342342
22.8962,0.077702703
22.9159,0.09009009
22.9356,0.102477477
22.9553,0.11036036
22.9751,0.088963964
22.9948,0.091216216
23.0145,0.134009009
23.0342,0.103603604
23.0539,0.101351351
23.0736,0.096846847
23.0933,0.102477477
23.113,0.119369369
23.1327,0.114864865
23.1524,0.120495495
23.1721,0.117117117
23.1918,0.100225225
23.2115,0.095720721
23.2312,0.113738739
23.2509,0.07545045
23.2707,0.064189189
23.2904,0.066441441
23.3101,0.060810811
23.3298,0.037162162
23.3495,0.048423423
23.3692,0.031531532
23.3889,0.045045045
23.4086,0.043918919
23.4283,0.041666667
23.448,0.042792793
23.4677,0.029279279
23.4874,0.028153153
23.5071,0.030405405
23.5268,0.03490991
23.5465,0.030405405
23.5662,0.038288288
23.586,0.048423423
23.6057,0.046171171
23.6254,0.050675676
23.6451,0.06981982
23.6648,0.064189189
23.6845,0.074324324
23.7042,0.093468468
23.7239,0.083333333
23.7436,0.073198198
23.7633,0.059684685
23.783,0.063063063
23.8027,0.046171171
23.8224,0.041666667
23.8421,0.033783784
23.8618,0.039414414
23.8816,0.038288288
23.9013,0.031531532
23.921,0.033783784
23.9407,0.033783784
23.9604,0.023648649
23.9801,0.023648649
23.9998,0.02027027
24.0195,0.024774775
24.0392,0.03490991
24.0589,0.025900901
24.0786,0.027027027
24.0983,0.024774775
24.118,0.023648649
24.1377,0.038288288
24.1574,0.041666667
24.1771,0.024774775
24.1969,0.041666667
24.2166,0.028153153
24.2363,0.032657658
24.256,0.029279279
24.2757,0.03490991
24.2954,0.041666667
24.3151,0.036036036
24.3348,0.037162162
24.3545,0.029279279
24.3742,0.033783784
24.3939,0.027027027
24.4136,0.03490991
24.4333,0.029279279
24.453,0.039414414
24.4727,0.037162162
24.4925,0.027027027
24.5122,0.032657658
24.5319,0.043918919
24.5516,0.051801802
24.5713,0.046171171
24.591,0.028153153
24.6107,0.047297297
24.6304,0.036036036
24.6501,0.033783784
24.6698,0.042792793
24.6895,0.043918919
24.7092,0.048423423
24.7289,0.051801802
24.7486,0.05518018
24.7683,0.052927928
24.7881,0.037162162
24.8078,0.052927928
24.8275,0.043918919
24.8472,0.039414414
24.8669,0.039414414
24.8866,0.031531532
24.9063,0.024774775
24.926,0.021396396
24.9457,0.022522523
24.9654,0.027027027
24.9851,0.021396396
25.0048,0.024774775
25.0245,0.018018018
25.0442,0.022522523
25.0639,0.015765766
25.0836,0.031531532
25.1034,0.025900901
25.1231,0.029279279
25.1428,0.022522523
25.1625,0.024774775
25.1822,0.027027027
25.2019,0.028153153
25.2216,0.021396396
25.2413,0.027027027
25.261,0.028153153
25.2807,0.032657658
25.3004,0.038288288
25.3201,0.029279279
25.3398,0.027027027
25.3595,0.027027027
25.3792,0.028153153
25.399,0.027027027
25.4187,0.033783784
25.4384,0.028153153
25.4581,0.025900901
25.4778,0.025900901
25.4975,0.03490991
25.5172,0.028153153
25.5369,0.02027027
25.5566,0.027027027
25.5763,0.023648649
